,item_name,item_area,item_avg_rating,item_spec_area,user_name,user_tot_avg_rating,user_tot_rating_num,user_tot_follow_num,user_rating,user_query,taste,price,service,menu,date
5809,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
까만오렌지
",4.2,9,0,4점,"음식 조금 짜긴한데 너무 맛있어요
특히 피자가 정말 맛있네요 치즈랑 도우가 너무 부드러웠어요. 직원분들도 친절하시고, 가격은 조금 비싸지만 그 값을 한다고 생각했어요!루꼴라 파스타는 생각 이상으로 풀향?이 강하니 채소 안좋아하시면 비추입니다.
+ 웨이팅 엄청 기니까 꼭 테이블링 앱으로 원격줄서기 하고 가세요!        ",맛: 좋음,가격: 보통,응대: 좋음,"비스마르크, 풍기 아란치니, 스파게티 알 페스토 디 루꼴라",2022년 5월 22일
5810,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
yezi
",4.0,16,1,5점,음식도 너무 맛있고 빨리나오는 편이고 식사시간에 가면 웨이팅이 있을 수 있지만 충분히 기다려서 먹을만큼 너무 맛있습니다~~!!!        ,맛: 좋음,가격: 만족,응대: 좋음,nan,2017년 7월 30일
5811,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
당누우
",4.1,794,9,5점,화덕에 잘구어져 도우의 식감이 쫀득쫀득하였고 치즈와 소스와 밸런스가 좋았고 카프레제도 아주 맛있었다.        ,맛: 좋음,가격: 만족,응대: 좋음,"마르게리따, 포르마지, 카프레제",2022년 6월 9일
5812,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
쑤쓰
",4.5,129,1,5점,"오픈런해야 먹을수있는 피자맛집
도우가 너무 맛있고
피자는 금방 나옵니다        ",맛: 좋음,가격: 만족,응대: 좋음,"풍기아란치니, 파스타",2024년 2월 26일
5813,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
현블
",4.3,25,0,5점,"유명한 곳이라 엄청 웨이팅 길었지만 기다려서 먹어봤어요! 유명한 곳 답게 피자, 파스타, 풍기아란치니까지 넘 맛있었어요 :)        ",맛: 좋음,가격: 만족,응대: 좋음,"풍기아란치니, 루꼴라파스타, 비스마르크",2022년 8월 5일
5814,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
찹쌀꽈배기
",3.9,1159,23,4점,사람 진짜 많은 이곳. 웨이팅 길어서 포장해서 먹었어요. 식어도 짱맛        ,맛: 좋음,가격: 보통,응대: 보통,뽀모도로부라타,2025년 1월 3일
5815,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
만두만두
",4.3,245,6,5점,"너무 맛있어요... 진짜 맛있어요.. 저거 피자 나오고 5분만에 두명이서 순삭했어요...
차가운 파스타 경계하는 사람인데 파슷타도 너무 맛있어서 흡입했어요 흑흑..
주문주터 식사 완료까지 20분컷 가능헙니다        ",맛: 좋음,가격: 만족,응대: 보통,"포폴로피자, 바질루꼴라파스타",2019년 8월 6일
5816,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
오호호
",4.4,60,3,4점,"화덕피자,샐러드는 진짜 맛있어요. 다만 제가 시킨 메뉴가 시그니처가 아니라 그런지 좀 짰어요 ㅠㅠ 옆에 빵집도 진짜 맛있습니다!!        ",맛: 좋음,가격: 만족,응대: 좋음,"콰트로풍기, 카프레제 샐러드",2021년 8월 8일
5817,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
이쫑알
",4.6,46,2,5점,웨이팅이 많이 힘들지만.. 피자는 너무 맛있었습니다. 집 갈 때 포장주문도 해서 한판 가져왔네요        ,맛: 좋음,가격: 만족,응대: 좋음,"카프레제샐러드, 피자",2024년 1월 11일
5818,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
hanuri
",4.3,80,3,5점,줄 서서 먹는 맛집입니다. 사람은 많지만 맛있어서 찾게 됩니다.        ,맛: 좋음,가격: 보통,응대: 좋음,부라따 에 프로슈토,2023년 12월 9일
5819,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
퀘벡쿼카
",4.2,140,0,5점,진짜 맛집다운 포스를 지닌 맛집. 웨이팅 필요함.여기 풍기 아란치니는 평생 한번쯤 먹어볼 필요가있다.        ,맛: 좋음,가격: 만족,응대: 좋음,"풍기 아란치니, 칼조네 디 포폴로",2021년 11월 29일
5820,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
모여봐요맛집으로
",3.7,352,0,5점,화덕피자 잘한다. 도우가 쫄깃하고 고소하고 담백하며 부드러운 맛.        ,맛: 좋음,가격: 만족,응대: 좋음,부라따 에 프로슈토,2023년 7월 31일
5821,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
깨흥
",4.2,73,1,5점,줄 많이 서지만 맛있어요 진짜 제대로 된 화덕피자집. 한국 피자집들이 이탈리아 레스토랑에서 먹는 피자 느낌이라면 여기는 진짜 Pizzeria 느낌        ,맛: 좋음,가격: 만족,응대: 좋음,"비스마르크, 라자냐",2021년 5월 23일
5822,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
shining
",4.4,108,2,5점,오픈전부터 웨이팅하는데 먹자마자 이해가됐어요~ 넘 맛있네요!!!!!        ,맛: 좋음,가격: 만족,응대: 좋음,"피자, 파스타",2021년 10월 16일
5823,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
정지영
",4.1,155,1,4점,피자 맛남 현장에서 먹어야 맛나드라 직원은 불친절 메뉴판 다 영어        ,맛: 좋음,가격: 보통,응대: 나쁨,피자,2021년 11월 12일
5824,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
mmmmgood
",4.2,33,0,4점,이사하고는 처음 가봤네요. 매장이 두배는 넓어져서 식사하기도 편하고요. 맛은 변함없네요. 루꼴라 파스타는 갈 때마다 먹는데 먹을 때 마다 맛있어요. 테이크아웃도 가능하니 웨이팅이 길다면 포장해가는 것도 괜찮을 듯 해요.        ,맛: 좋음,가격: 보통,응대: 좋음,"스파게티 알 페스토 디 루꼴라, 마르게리타 콘 부팔라",2020년 9월 28일
5825,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
heyheyhey
",4.2,50,1,5점,너무나 맛있는 피자 맛집입니다. 유명한 만큼 대기가 있지만 그래도 대기를 감수할 만큼 정말 맛있는 피자집!!        ,맛: 좋음,가격: 만족,응대: 보통,"부라따 피자, 샐러드 피자",2020년 7월 28일
5826,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
qwerty1
",4.4,27,0,4점,맛있음.. 대회 수상하신 직후에 가서 웨이팅이 살인적이었는데도 맛있었음. 두 명이서 피자 두 개 다 먹음.        ,맛: 좋음,가격: 보통,응대: 좋음,마르게리타 콘 부팔라,2024년 1월 24일
5827,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
조나123
",3.9,23,3,4점,"어떤 리뷰에서는 일산의 자랑이라고 하던데 웨이팅이 항상 있는 걸 보면 어느정도 맞는 말인듯.피자는 비스마르크가 시그니처 메뉴인 것 같음. 피자 도우가 맛있으니 위에 토핑은 암거나 골라도 맛있는듯. 개인적으론 피자보다는 루꼴라 파스타가 진짜 맛있었음. 루꼴라 페스토와 꿀에 절인 블랙 올리브, 방울 토마토의 조화가 환상적임. 집에서 똑같이 해먹어 봤는데 역시 맛있더군요...팁이라면 피클이 안 나오는데 할라피뇨 달라고 하면 통 할라피뇨 줍니다.        ",맛: 좋음,가격: 보통,응대: 보통,"루꼴라 파스타, 리코타치즈 샐러드, 프로슈토 피자",2019년 10월 29일
5828,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
새하
",4.0,2,0,3점,"일단 주말에 웨이팅 있어서 40분정도 기다리다가 들어갔습니다. 인기메뉴인 비스마르크랑 프로슈토에 피자, 알 페스토 디 루꼴라 파스타를 먹었는데.. 평소에 싱겁게 먹는 편이 아닌데도 굉장히 짠맛이 강했습니다. 프로슈토에는 짤 수 있다는걸 알고 있었지만 감안하고도 굉장히 짰어요. 비스마르크도 짠맛이 강했습니다. 비스마르크는 토마토랑 치즈가 어우러진 쫄깃한 도우의 피자였고 맛있었지만 짰습니다. 파스타는 상큼하고 깔끔한 맛이었지만 향이 굉장히 강해서 호불호가 갈릴 맛이었습니다. 여기저기서 극찬하길래 가봤는데 짠맛이 가장 기억에 남네요. 테이블은 9테이블정도로 규모가 작았고 테이블 간격도 좁은 편이었습니다. '나는 맛있기만 하면 짜도 상관없다!' 싶으신분들은 좋아하실것같아요        ",맛: 보통,가격: 보통,응대: 보통,"비스마르크, 알 페스토 디 루꼴라, 프로슈토에 루꼴라",2019년 10월 13일
5829,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
담담
",4.3,6,0,4점,"영업 시작할 때 갔는데 웨이팅이 많아서 놀랐다. 일찍 가시거나 식사 시간 비틀어서 가시는 걸 추천.
 내부가 넓은 편은 아니라 옆 테이블과 거리가 좁은 편이다. 오붓한 데이트나 조용하게 대화할 수 있는 분위기는 아님. 
 피자는 맛있었다. 개인적으로 카프레제 샐러드가 정말정말 맛있었음!        ",맛: 좋음,가격: 만족,응대: 좋음,"카프레제 샐러드, 비스마르크, 꽈트로풍기",2019년 5월 14일
5830,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
sue
",3.8,95,5,5점,여길 가기 위해 일산을 방문할만한 충분한 이유가 있는 곳. 디아볼라와 깔조네 모두 풍미가 압도적였다.        ,맛: 좋음,가격: 보통,응대: 보통,"디아볼라, 깔조네",2020년 4월 2일
5831,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
한둘
",3.4,46,1,3점,피자 도우가 쫄깃하고 맛있었습니다 스타게티는 맛이 특이햇어요 약간 아이셔 냄새가난달까        ,맛: 좋음,가격: 보통,응대: 보통,"스파게티 알 페스토 디 루꼴라, 포폴로 클라시카",2024년 3월 28일
5832,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
Ddnc
",4.5,584,9,5점,"와 일산에 이런 맛집이
도우가 쫀득하고 너무 맛있었다!!        ",맛: 좋음,가격: 만족,응대: 좋음,마르게리타,2021년 2월 4일
5833,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
nahlu
",4.4,196,7,5점,건강하고 맛있는 메뉴 웨이팅이 많이 길지만 직원분들 모두 친절하고 가격도 꽤 저렴한편입니다        ,맛: 좋음,가격: 만족,응대: 좋음,루꼴라파스타,2020년 10월 18일
5834,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
샤랄라
",4.5,6,0,5점,피자 샐러드 다 맛있었어요! 웨이팅이 좀 있었지만 먹어보면 기다릴만하네요^^        ,맛: 좋음,가격: 만족,응대: 보통,"비스마르크, 카프레제샐러드",2021년 7월 28일
5835,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
다코미식가
윤깅
",3.7,122,49,4점,맛있다!!! 딱 한 입 먹자마자 이 생각이 든다. 거리가 멀어 자주 못 가는 점이 아쉽다만... 일부러 시간 내서라도 한번쯤 더 가볼 예정.        ,맛: 좋음,가격: 만족,응대: 좋음,"비스마르크, 스파게티 알 페스토 디 루꼴라",2021년 9월 28일
5836,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
꼼꼼이
",4.0,7,0,2점,화덕피자를 좋아해서 방문했는데 생각했던 맛과는 달랐어요. 찹쌀같은 느낌이 드는 쫀득쫀득한 도우예요. 좋아하시는 분들도 계시겠지만 제 입맛에는 안맞았어요.        ,맛: 보통,가격: 보통,응대: 좋음,"루꼴라 파스타, 마르게리따",2019년 1월 22일
5837,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
Yuna Lee
",5.0,1,0,5점,나만 알고싶은 맛집 웨이팅이 점점 길어져요~        ,맛: 좋음,가격: 만족,응대: 좋음,샐러드 피자 파스타,2019년 4월 16일
5838,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
양냥이
",4.0,4,0,5점,일산을 떠나면서 제일 아쉬웠던 이유... 나의 포폴로 나의 빛ㅜ.. 핏짜 진짜 존맛이고 파스타종류 라자냐 바질페스토 두 개 있는데 다 맛있어요 하지만 바질을 좀 더 사랑함 비스마르크 프로슈토! 프로슈토의 짠꼬랑내가 진짜 제대로임ㅜㅜ 너무너무 사랑하는 곳이에요 너무 많이 가진 마세요 저도 가야하니까 확장이전 해가지규 이전보다 수용인원이 많아져서 오전오후 오픈 십 분 십오 분 전쯤 와서 키오스크 웨이팅 해놓으면 바로 들어갈 수 있는 듯요!        ,맛: 좋음,가격: 만족,응대: 좋음,"바질페스토 파스타, 비스마르크, 샹그리아, 카프레제",2020년 7월 21일
5839,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
살벌한드럼세탁기
",4.6,8,0,5점,"어플로 예약할 수 있어서 편하고
도우가 쫄깃하고 담백한게 맛있어요!!!
살 별로 안찔거같은 건강한 피자맛
주기적으로 가게 되는곳!        ",맛: 좋음,가격: 만족,응대: 좋음,"고르곤졸라 에 피코, 마르게리타 콘 부팔라",2023년 7월 27일
5840,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
한공기움냐나
",4.2,18,1,5점,이미 너무 유명하고 너무 맛있는곳. 웨이팅 진짜진짜 깁니다. 그럼에도 사장님은 여전히 친절하시네요.. 주차불가        ,맛: 좋음,가격: 만족,응대: 좋음,"디아볼라, 스파게티알페스토디루꼴라",2020년 1월 15일
5841,포폴로피자,일산,4.6,경기도 고양시 일산동구 장항동 846,"
linzyyy
",3.2,303,6,5점,비스마르크를 먹었습니다 대기가 많지만 금빙금방 빠지는 편입니다        ,맛: 좋음,가격: 보통,응대: 보통,비스마르크,2021년 6월 13일
